,EVAL MID PRICE
565,100.929
566,100.77
567,100.643
568,100.485
569,100.302
570,100.108
571,100.737
572,100.769
573,100.743
574,100.656
575,100.586
576,100.559
577,100.586
578,100.471
579,100.416
580,100.392
581,100.271
582,100.153
583,100.008
584,101.78
585,101.93
586,101.912
587,101.826
588,101.732
589,101.756
590,101.932
591,101.629
592,101.783
593,101.93
594,101.786
595,101.857
596,101.783
597,101.573
598,101.482
599,102.578
600,102.792
601,102.786
602,102.462
603,102.44
604,102.507
605,102.72
606,102.239
607,102.563
608,102.666
609,102.551
610,102.678
611,102.618
612,102.462
613,102.342
614,100.905
615,101.306
616,101.294
617,101.237
618,101.244
619,101.453
620,101.841
621,101.309
622,101.805
623,102.094
624,101.97
625,102.353
626,102.424
627,102.263
628,102.258
629,100.951
630,101.3
631,101.322
632,101.263
633,101.401
634,101.585
635,101.886
636,101.329
637,95.576
638,95.759
639,95.967
640,96.529
641,96.806
642,96.996
643,97.211
644,99.41
645,99.778
646,94.145
647,94.43
648,94.914
649,95.386
650,95.662
651,95.378
653,89.148
654,89.613
655,90.144
656,90.547
657,91.037
658,91.612
659,98.001
660,98.411
661,92.921
662,93.259
663,93.851
664,94.375
665,94.695
666,94.416
669,88.9
670,89.469
671,89.928
672,90.46
673,91.136
674,100.633
675,100.611
676,100.582
677,100.478
678,100.327
679,100.253
680,100.193
681,100.083
682,100.931
683,100.89
684,100.836
685,100.705
686,100.516
687,100.408
688,100.344
689,100.214
690,100.07
691,100.345
692,100.251
693,100.164
694,100.054
695,101.27
696,101.517
697,101.455
698,101.401
699,101.35
700,101.432
701,101.69
702,101.352
703,101.594
704,101.799
705,101.676
706,101.871
707,101.843
708,101.676
709,101.625
710,102.603
711,102.935
712,102.862
713,102.806
714,102.732
715,102.948
716,103.331
717,102.621
718,103.213
719,103.519
720,103.345
721,103.705
722,103.77
723,103.527
724,103.492
725,103.731
726,104.159
727,104.03
728,103.63
729,103.679
730,103.929
731,104.247
732,103.3
733,104.117
734,104.322
735,104.247
736,104.709
737,104.716
738,104.617
739,104.472
740,102.864
741,103.154
742,103.071
743,102.982
744,103.026
745,103.21
746,103.472
747,102.701
748,103.32
